No.     Time           Source                Destination           Protocol Length Info
    256 15.011411638   172.16.0.1            172.16.0.5            TCP      58     47932 → 33 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    257 15.011416366   172.16.0.1            172.16.0.5            TCP      58     47932 → 100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    258 15.011421958   172.16.0.1            172.16.0.5            TCP      58     47932 → 57 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    259 15.011429002   172.16.0.1            172.16.0.5            TCP      58     47932 → 61 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    260 15.011434018   172.16.0.1            172.16.0.5            TCP      58     47932 → 44 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    261 15.011439146   172.16.0.1            172.16.0.5            TCP      58     47932 → 77 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    262 15.011444494   172.16.0.1            172.16.0.5            TCP      58     47932 → 86 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    263 15.011449358   172.16.0.1            172.16.0.5            TCP      58     47932 → 10 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    264 15.011456630   172.16.0.1            172.16.0.5            TCP      58     47932 → 98 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    265 15.011461554   172.16.0.1            172.16.0.5            TCP      58     47932 → 76 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    274 15.011817578   172.16.0.1            172.16.0.5            TCP      54     47932 → 7 [RST] Seq=1 Win=0 Len=0
    295 15.012178595   172.16.0.1            172.16.0.5            TCP      54     47932 → 19 [RST] Seq=1 Win=0 Len=0
