No.     Time           Source                Destination           Protocol Length Info
    142 14.390823671   192.168.2.219         192.168.2.15          TCP      58     52091 → 76 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    143 14.390828041   192.168.2.219         192.168.2.15          TCP      58     52091 → 27 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    234 14.488755137   192.168.2.219         192.168.2.15          TCP      58     52092 → 35 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    235 14.488772717   192.168.2.219         192.168.2.15          TCP      58     52092 → 65 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    236 14.488780154   192.168.2.219         192.168.2.15          TCP      58     52092 → 4 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    237 14.488787166   192.168.2.219         192.168.2.15          TCP      58     52092 → 49 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    238 14.488792534   192.168.2.219         192.168.2.15          TCP      58     52092 → 91 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    239 14.488797518   192.168.2.219         192.168.2.15          TCP      58     52092 → 97 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    240 14.488802574   192.168.2.219         192.168.2.15          TCP      58     52092 → 48 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    241 14.488809314   192.168.2.219         192.168.2.15          TCP      58     52092 → 42 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    242 14.488815374   192.168.2.219         192.168.2.15          TCP      58     52092 → 84 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    252 14.490915962   192.168.2.219         192.168.2.15          TCP      58     52092 → 27 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    253 14.490925771   192.168.2.219         192.168.2.15          TCP      58     52092 → 76 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    254 14.490932135   192.168.2.219         192.168.2.15          TCP      58     52092 → 67 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    255 14.490938911   192.168.2.219         192.168.2.15          TCP      58     52092 → 45 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    256 14.490944867   192.168.2.219         192.168.2.15          TCP      58     52092 → 14 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    257 14.490950671   192.168.2.219         192.168.2.15          TCP      58     52092 → 92 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    258 14.490955852   192.168.2.219         192.168.2.15          TCP      58     52092 → 15 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    259 14.490962812   192.168.2.219         192.168.2.15          TCP      58     52092 → 61 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    260 14.490968560   192.168.2.219         192.168.2.15          TCP      58     52092 → 93 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    261 14.490975196   192.168.2.219         192.168.2.15          TCP      58     52092 → 55 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    262 14.490982152   192.168.2.219         192.168.2.15          TCP      58     52092 → 60 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    263 14.490989628   192.168.2.219         192.168.2.15          TCP      58     52092 → 7 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    264 14.490997320   192.168.2.219         192.168.2.15          TCP      58     52092 → 87 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    265 14.491002456   192.168.2.219         192.168.2.15          TCP      58     52092 → 50 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    266 14.491007660   192.168.2.219         192.168.2.15          TCP      58     52092 → 12 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    267 14.491015121   192.168.2.219         192.168.2.15          TCP      58     52092 → 69 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    268 14.491020681   192.168.2.219         192.168.2.15          TCP      58     52092 → 64 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    269 14.491025761   192.168.2.219         192.168.2.15          TCP      58     52092 → 32 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    270 14.491032841   192.168.2.219         192.168.2.15          TCP      58     52092 → 16 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    271 14.491039817   192.168.2.219         192.168.2.15          TCP      58     52092 → 98 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    272 14.491045585   192.168.2.219         192.168.2.15          TCP      58     52092 → 41 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    273 14.491053137   192.168.2.219         192.168.2.15          TCP      58     52092 → 82 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    274 14.491059145   192.168.2.219         192.168.2.15          TCP      58     52092 → 26 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    275 14.491064834   192.168.2.219         192.168.2.15          TCP      58     52092 → 13 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
