No.     Time           Source                Destination           Protocol Length Info
    132 13.396252760   192.168.2.219         192.168.2.15          TCP      74     59910 → 34 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    133 13.396260028   192.168.2.219         192.168.2.15          TCP      74     34884 → 61 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    134 13.396268120   192.168.2.219         192.168.2.15          TCP      74     47598 → 81 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    135 13.396275990   192.168.2.219         192.168.2.15          TCP      74     51178 → 55 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    136 13.396283472   192.168.2.219         192.168.2.15          TCP      74     60250 → 19 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    137 13.396290267   192.168.2.219         192.168.2.15          TCP      74     34860 → 16 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    138 13.396299409   192.168.2.219         192.168.2.15          TCP      74     38910 → 89 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    139 13.396306767   192.168.2.219         192.168.2.15          TCP      74     54264 → 75 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    140 13.396313300   192.168.2.219         192.168.2.15          TCP      74     40910 → 18 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    141 13.396320284   192.168.2.219         192.168.2.15          TCP      74     36160 → 8 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    142 13.396327593   192.168.2.219         192.168.2.15          TCP      74     49150 → 63 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    143 13.396335758   192.168.2.219         192.168.2.15          TCP      74     60498 → 62 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    144 13.396342410   192.168.2.219         192.168.2.15          TCP      74     46126 → 38 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    145 13.396348870   192.168.2.219         192.168.2.15          TCP      74     41446 → 45 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    146 13.396355939   192.168.2.219         192.168.2.15          TCP      74     41220 → 24 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    147 13.396363766   192.168.2.219         192.168.2.15          TCP      74     42354 → 43 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
